118;SP;VALINHOS;Private;577.803162;561.963501;589.273010;673.887329;638.730164
119;PR;SANTA ISABEL DO IVAI;State;437.754547;439.830292;492.754547;468.851501;516.969727
120;RS;PELOTAS;Private;489.040924;529.281799;577.531799;552.681824;590.000000
121;SP;GUARATINGUETA;Private;555.005249;558.681580;603.744751;651.431580;636.842102
122;SP;SAO PAULO;State;568.577576;572.774414;612.788025;657.580017;611.840027
123;SP;SAO JOSE DO RIO PRETO;Private;552.042114;557.736816;599.010498;613.663147;612.631592
124;SP;SAO PAULO;Private;643.019531;613.823181;634.808533;759.540222;740.487793
125;SP;RIBEIRAO PRETO;Private;598.575012;588.064880;610.699036;702.839905;674.230774
126;SP;SAO JOSE DO RIO PRETO;State;466.382446;471.471619;528.118225;523.589172;538.783813
127;SP;ARARAS;State;552.372253;546.848511;589.019775;646.223755;622.376221
128;PR;PARANAGUA;State;435.455170;446.035065;497.929321;473.820679;468.735626
129;PR;MARINGA;State;455.403992;450.205994;489.123993;514.221985;496.399994
130;SP;CAMPINAS;State;376.516663;384.577789;467.855560;461.716675;427.777771
131;PR;CAFELANDIA;State;446.679993;436.912231;493.108887;493.877777;493.555542
132;SP;SAO PAULO;State;461.375153;483.072876;539.246887;526.415283;572.655396
133;SP;MARTINOPOLIS;State;426.053955;438.801575;506.180939;495.984131;488.888885
134;SP;RIBEIRAO PRETO;State;460.532898;448.386078;517.779724;505.397461;506.835449
135;PR;RAMILANDIA;State;444.520691;445.603455;491.675873;465.024139;508.965515
136;SP;GUARUJA;State;505.792419;509.316467;559.302551;549.198730;605.569641
137;SP;JACAREI;Private;587.029175;573.224976;606.295837;692.087524;649.166687
138;SP;SAO PAULO;Private;548.435730;507.678558;571.292847;619.400024;564.285706
139;SP;ORLANDIA;State;514.869995;520.944641;559.266907;568.213074;595.076904
140;SP;SAO CAETANO DO SUL;Municipal;510.290802;522.080750;579.929260;590.405457;609.372375
141;PR;CURITIBA;State;420.993744;461.356262;516.531250;483.912506;442.500000
142;AM;MANAUS;State;425.771393;439.191833;491.620697;460.942505;532.861023
143;SP;CAPIVARI;Private;541.364502;528.780640;574.796753;633.290344;600.000000
144;SP;JABORANDI;State;422.797791;424.846680;471.864441;475.188904;508.444458
145;SP;DIADEMA;Private;478.877777;498.655548;539.061096;570.299988;591.111084
146;SP;EMBU-GUACU;State;450.787018;462.337402;519.379395;494.154205;531.297729
147;SP;MAUA;Private;557.400024;550.358337;587.849976;666.891663;625.000000
148;RJ;DUQUE DE CAXIAS;Private;545.530334;539.404785;573.539856;613.090454;634.404785
149;PR;UMUARAMA;Private;524.250427;521.120483;564.014526;587.277771;588.888916
150;PR;CASCAVEL;Private;562.348328;550.894531;576.274170;638.295593;609.670349
151;PR;CASCAVEL;Private;551.079041;546.516113;572.448364;617.395142;611.935486
152;SP;GUARATINGUETA;State;494.710785;511.293518;562.128052;580.751099;589.064758
153;SP;TAUBATE;Private;505.313110;511.646423;562.279785;605.638123;559.285706
154;SP;PRESIDENTE VENCESLAU;State;463.576477;466.858826;518.217651;531.805908;492.941162
155;SP;CATANDUVA;State;433.713043;434.182617;490.052185;487.913055;341.739136
156;CE;ACOPIARA;State;471.766663;496.115265;537.194458;548.633362;556.944458
157;PR;CURITIBA;State;436.975922;443.464813;486.600006;459.483337;471.851837
158;SP;PINDAMONHANGABA;State;473.727020;478.062775;531.064941;536.018250;578.138672
159;SP;PIRAJUI;State;468.639557;487.887909;540.527466;540.095581;578.901123
160;SP;PRESIDENTE BERNARDES;State;435.621185;456.027069;510.232941;510.485870;505.647064
161;PR;CURITIBA;State;448.598145;475.053711;517.540710;494.748138;515.555542
162;SP;SAO PAULO;Private;468.390015;484.510010;524.625000;529.659973;554.000000
163;PR;GUARAPUAVA;Private;535.337158;518.311401;557.551453;637.511414;578.285706
164;SP;MAIRINQUE;Private;570.664307;532.592834;589.900024;658.578552;605.714294
165;SP;GUARULHOS;State;457.054047;466.252411;529.955627;508.153229;539.193542
166;SP;COLOMBIA;State;460.220398;462.359192;513.177551;506.708160;505.714294
167;SP;SANTO ANASTACIO;State;420.383331;434.006256;499.020844;460.504181;514.583313
168;SP;JUQUIA;State;425.548889;423.275543;478.144440;469.075562;493.333344
169;SP;IBATE;Private;516.281799;487.736359;562.072754;583.018188;521.818176
170;SP;SAO PAULO;Private;540.479980;550.288025;574.859985;647.164001;581.599976
171;SP;ITAPOLIS;Private;549.190918;553.927246;566.081848;643.481812;594.545471
172;SP;TABOAO DA SERRA;State;429.234283;439.376190;492.606659;459.961914;531.238098
173;PR;FRANCISCO BELTRAO;Private;519.709106;526.893188;550.086365;593.827271;550.909119
